"identifiant","pays","poids","csp","csp_père","csp_mère","education","education_pere","education_mere","genre","age","csp_avec_A","mobilite","age_cat"
2,"AT",0.12772575,"OQ","OQ","C",3,2,2,1,50,"OQ","OQ_OQ_M","41-65"
3,"AT",0.37795267,"OQ","ONQ","OQ",2,2,2,2,63,"OQ","OQ_OQ_F","41-65"
4,"AT",0.37523997,"C","OQ","66",5,2,2,1,44,"C","C_OQ_M","41-65"
5,"ES",1.4151301,"OQ","OQ","66",3,1,3,1,38,"OQ","OQ_OQ_M","26-40"
7,"AT",0.37795267,"OQ","OQ","ONQ",2,3,2,2,63,"OQ","OQ_ONQ_F","41-65"
11,"BE",1.7042009,"OQ","OQ","PI",1,1,1,2,69,"C","OQ_PI_F",">65"
12,"AT",0.8941072,"C","C","66",3,4,3,1,47,"C","C_C_M","41-65"
22,"AT",0.24197885,"OQ","66","OQ",3,3,2,2,30,"C","OQ_OQ_F","26-40"
24,"AT",0.10742654,"ONQ","OQ","66",2,2,2,1,60,"ONQ","ONQ_OQ_M","41-65"
25,"AT",0.11550017,"OQ","C","66",3,3,3,1,24,"OQ","OQ_C_M","14-25"
27,"AT",0.09669628,"OQ","PI","PI",5,3,4,2,28,"OQ","OQ_PI_F","26-40"
28,"AT",0.1520757,"OQ","OQ","66",2,2,2,1,61,"OQ","OQ_OQ_M","41-65"
37,"AT",0.16315277,"C","PI","OQ",5,2,2,2,45,"C","C_OQ_F","41-65"
38,"AT",0.08623218,"OQ","ONQ","OQ",2,2,2,1,77,"C","OQ_ONQ_M",">65"
39,"AT",0.3884517,"OQ","OQ","OQ",3,2,2,2,31,"C","OQ_OQ_F","26-40"
41,"AT",0.9400422,"OQ","ONQ","ONQ",2,2,2,2,25,"OQ","OQ_ONQ_F","14-25"
42,"AT",0.15910743,"OQ","OQ","ONQ",3,3,2,2,51,"C","OQ_ONQ_F","41-65"
43,"AT",0.12958731,"PI","OQ","OQ",3,2,2,2,70,"PI","PI_OQ_F",">65"
44,"AT",0.08623218,"OQ","OQ","OQ",2,2,2,1,66,"OQ","OQ_OQ_M",">65"
45,"AT",0.08623218,"ONQ","ONQ","OQ",2,2,2,1,64,"ONQ","ONQ_ONQ_M","41-65"
46,"AT",0.2386405,"OQ","ONQ","OQ",3,3,2,2,42,"OQ","OQ_OQ_F","41-65"
48,"AT",0.38872826,"PI","OQ","OQ",3,3,2,2,58,"PI","PI_OQ_F","41-65"
50,"BE",1.7913597,"OQ","ONQ","OQ",2,3,3,1,21,"OQ","OQ_ONQ_M","14-25"
51,"AT",0.27307442,"C","OQ","OQ",3,1,1,1,70,"C","C_OQ_M",">65"
54,"ES",1.8007214,"OQ","OQ","OQ",2,1,1,2,22,"OQ","OQ_OQ_F","14-25"
56,"AT",0.24734364,"C","OQ","66",3,2,1,1,41,"C","C_OQ_M","41-65"
60,"BE",1.7042009,"OQ","OQ","PI",2,1,1,2,68,"C","OQ_PI_F",">65"
62,"AT",0.15991968,"ONQ","ONQ","66",2,2,2,1,40,"ONQ","ONQ_ONQ_M","26-40"
66,"AT",0.30074927,"OQ","OQ","OQ",2,2,2,2,43,"A","OQ_OQ_F","41-65"
67,"AT",0.41112232,"PI","OQ","OQ",3,2,2,1,53,"PI","PI_OQ_M","41-65"
68,"AT",0.30696687,"C","OQ","OQ",3,2,2,2,59,"C","C_OQ_F","41-65"
70,"AT",0.24331802,"ONQ","OQ","OQ",2,2,2,2,68,"ONQ","ONQ_OQ_F",">65"
71,"ES",1.6585648,"PI","C","66",3,3,2,1,48,"PI","PI_C_M","41-65"
72,"AT",0.18156226,"C","OQ","66",3,2,2,1,58,"C","C_OQ_M","41-65"
73,"BE",0.47631392,"C","C","C",5,5,5,2,41,"C","C_C_F","41-65"
75,"AT",0.27147803,"OQ","OQ","88",3,2,2,1,45,"A","OQ_OQ_M","41-65"
76,"BE",1.27861,"OQ","OQ","ONQ",3,1,1,1,32,"OQ","OQ_OQ_M","26-40"
77,"BE",0.6437406,"OQ","OQ","66",5,5,1,1,27,"OQ","OQ_OQ_M","26-40"
79,"AT",0.20740126,"OQ","66","PI",3,2,2,2,36,"C","OQ_PI_F","26-40"
84,"BE",1.5096722,"PI","ONQ","OQ",3,1,1,1,66,"PI","PI_ONQ_M",">65"
87,"AT",0.30511194,"PI","OQ","66",5,2,1,1,55,"PI","PI_OQ_M","41-65"
90,"BE",1.753512,"ONQ","OQ","OQ",2,1,1,1,45,"ONQ","ONQ_OQ_M","41-65"
91,"BE",1.27861,"PI","OQ","66",3,2,1,1,31,"PI","PI_OQ_M","26-40"
96,"AT",0.118903145,"OQ","OQ","66",3,3,2,1,76,"C","OQ_OQ_M",">65"
97,"BE",0.6103351,"C","C","66",5,5,5,1,42,"C","C_C_M","41-65"
98,"AT",0.33754796,"PI","OQ","ONQ",5,2,2,2,50,"PI","PI_ONQ_F","41-65"
100,"AT",0.23786597,"OQ","OQ","PI",3,2,2,1,80,"C","OQ_OQ_M",">65"
101,"AT",0.08920878,"OQ","OQ","66",2,2,2,1,74,"C","OQ_OQ_M",">65"
102,"AT",0.31648466,"C","OQ","PI",5,3,2,1,42,"C","C_OQ_M","41-65"
103,"AT",0.118932985,"OQ","OQ","66",3,3,3,1,77,"C","OQ_OQ_M",">65"
104,"AT",0.31520152,"ONQ","OQ","OQ",2,3,2,2,43,"ONQ","ONQ_OQ_F","41-65"
108,"AT",0.15761065,"ONQ","ONQ","OQ",2,2,1,2,50,"ONQ","ONQ_OQ_F","41-65"
112,"AT",0.40074986,"OQ","PI","66",3,2,2,1,56,"OQ","OQ_PI_M","41-65"
114,"AT",0.27223474,"PI","PI","PI",3,2,2,1,54,"PI","PI_PI_M","41-65"
123,"BE",0.3278172,"PI","OQ","66",5,3,1,1,42,"PI","PI_OQ_M","41-65"
124,"AT",0.39866272,"C","OQ","66",5,2,2,1,46,"C","C_OQ_M","41-65"
128,"AT",0.27139696,"C","ONQ","66",3,2,2,1,45,"C","C_ONQ_M","41-65"
129,"AT",0.3392597,"C","C","PI",3,3,2,1,38,"C","C_C_M","26-40"
131,"BE",0.3647349,"OQ","OQ","66",3,2,2,1,38,"OQ","OQ_OQ_M","26-40"
134,"AT",0.15568654,"PI","C","C",3,1,3,1,26,"PI","PI_C_M","26-40"
136,"AT",0.20068611,"PI","OQ","66",5,3,2,1,30,"PI","PI_OQ_M","26-40"
137,"AT",0.20068611,"OQ","C","C",5,3,3,1,28,"C","OQ_C_M","26-40"
140,"AT",0.12375101,"OQ","OQ","66",3,3,2,1,43,"OQ","OQ_OQ_M","41-65"
142,"BE",0.34050584,"C","C","PI",5,5,5,1,27,"C","C_C_M","26-40"
145,"AT",0.27327812,"OQ","C","66",3,3,3,1,60,"C","OQ_C_M","41-65"
147,"AT",0.12375101,"PI","OQ","66",3,2,2,1,41,"PI","PI_OQ_M","41-65"
148,"AT",0.11541711,"OQ","OQ","PI",3,2,2,2,33,"C","OQ_PI_F","26-40"
150,"BE",0.7937718,"OQ","OQ","PI",2,1,1,2,63,"OQ","OQ_PI_F","41-65"
151,"BE",0.435986,"OQ","OQ","66",3,1,1,1,85,"OQ","OQ_OQ_M",">65"
153,"BE",0.66404945,"ONQ","ONQ","OQ",1,1,3,2,39,"ONQ","ONQ_OQ_F","26-40"
158,"AT",0.10247887,"ONQ","OQ","66",1,2,1,1,78,"ONQ","ONQ_OQ_M",">65"
164,"AT",0.3080373,"OQ","C","PI",3,4,3,2,60,"C","OQ_PI_F","41-65"
166,"AT",0.24752815,"OQ","OQ","66",3,3,2,1,52,"C","OQ_OQ_M","41-65"
170,"AT",0.27327812,"C","PI","66",3,3,2,1,63,"C","C_PI_M","41-65"
174,"AT",0.17527114,"C","C","C",5,3,3,1,63,"C","C_C_M","41-65"
180,"AT",0.31140596,"OQ","PI","OQ",3,3,2,1,31,"OQ","OQ_PI_M","26-40"
184,"AT",0.09734844,"C","C","66",2,1,1,1,68,"C","C_C_M",">65"
188,"AT",0.23511124,"PI","ONQ","88",3,3,3,1,47,"PI","PI_ONQ_M","41-65"
191,"AT",0.35266683,"OQ","ONQ","66",3,2,2,1,37,"OQ","OQ_ONQ_M","26-40"
193,"LU",0.0382873,"C","OQ","66",3,1,1,1,45,"C","C_OQ_M","41-65"
197,"BE",0.66404945,"OQ","OQ","ONQ",1,1,1,2,53,"OQ","OQ_ONQ_F","41-65"
198,"AT",0.21927787,"ONQ","ONQ","ONQ",3,3,2,2,25,"ONQ","ONQ_ONQ_F","14-25"
202,"AT",0.29578468,"OQ","OQ","C",3,3,4,1,23,"C","OQ_OQ_M","14-25"
